"sep=,"
(defined(USE_SETCPUAFFINITY)) && (defined(__linux__)),2
!defined(REDIS_TEST_VERBOSE),1
!(!defined(HAVE_LIBSYSTEMD)),1
!defined(JEMALLOC_HAS_RESTRICT) || defined(__cplusplus),2
!(!defined(USE_OPENSSL)),1
(((!defined(BYTE_ORDER)) && (defined(__BYTE_ORDER))) && (defined(__LITTLE_ENDIAN) && defined(__BIG_ENDIAN))) && (!((__BYTE_ORDER == __LITTLE_ENDIAN))),4
(defined(_WIN32)) && (!(defined(_WIN64))),2
defined(__APPLE__) || defined(__FreeBSD__),2
UINTPTR_MAX == UINT_MAX,2
(!(defined(LUA_USE_POPEN))) && (!(defined(LUA_WIN))),2
!defined(FRST),1
!defined(JEMALLOC_EXTRA_SIZE_CHECK),1
(defined(USE_OPENSSL)) && (defined(TLS_DEBUGGING)),2
((!(defined(USE_TCMALLOC))) && (!(defined(USE_JEMALLOC)))) && (defined(__APPLE__)),3
(defined(_MSC_VER)) && (!defined(va_copy)),2
(ULONG_MAX == 4294967295UL),1
!defined(__DECONST),1
(!defined(REDISMODULE_CORE)) && (!defined(REDISMODULE_ATTR_COMMON)),2
!defined(luai_threadyield),1
((!(defined(JEMALLOC_GCC_ATOMIC_ATOMICS))) && (!(defined(JEMALLOC_GCC_SYNC_ATOMICS)))) && (defined(_MSC_VER)),3
!(defined(__unix__) || defined(__unix) || defined(unix) || (defined(__APPLE__) && defined(__MACH__))),5
defined(HAVE_PROC_STAT),1
(defined(USE_OPENSSL)) && (defined(SSL_OP_NO_TLSv1_3)),2
!defined(JEMALLOC_JET),1
(((defined(JEMALLOC_PROC_SYS_VM_OVERCOMMIT_MEMORY)) && (!(defined(JEMALLOC_USE_SYSCALL) && defined(SYS_open)))) && (defined(JEMALLOC_USE_SYSCALL) && defined(SYS_openat))) && (!(defined(O_CLOEXEC))),5
((((((defined(HAVE_BACKTRACE)) && (!(defined(__APPLE__) && !defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6)))) && (!(defined(__linux__)))) && (!(defined(__FreeBSD__)))) && (defined(__OpenBSD__))) && (defined(__i386__)),7
((defined(HAVE_BACKTRACE)) && (defined(__APPLE__) && defined(MAC_OS_X_VERSION_10_6))) && (defined(_STRUCT_X86_THREAD_STATE64) && !defined(__i386__)),5
!(!defined(_MSC_VER)),1
